portfolio,date,day_of_week,day_of_week_name,month_num,year,day_num,calls_offered,cct_seconds,abandon_rate,abandoned_calls
A,2024-01-01,0,Monday,1,2024,1,2147.0,302.45,0.0037,8
A,2024-01-02,1,Tuesday,1,2024,2,7458.0,349.22,0.1136,847
A,2024-01-03,2,Wednesday,1,2024,3,6882.0,331.07,0.0432,297
A,2024-01-04,3,Thursday,1,2024,4,6208.0,341.8,0.0403,250
A,2024-01-05,4,Friday,1,2024,5,6190.0,334.56,0.0291,180
A,2024-01-06,5,Saturday,1,2024,6,3529.0,323.18,0.0034,12
A,2024-01-07,6,Sunday,1,2024,7,1611.0,269.32,0.0056,9
A,2024-01-08,0,Monday,1,2024,8,6688.0,343.75,0.0173,116
A,2024-01-09,1,Tuesday,1,2024,9,5126.0,334.94,0.009,46
A,2024-01-10,2,Wednesday,1,2024,10,5793.0,340.56,0.0097,56
A,2024-01-11,3,Thursday,1,2024,11,5408.0,324.22,0.0089,48
A,2024-01-12,4,Friday,1,2024,12,4902.0,333.5,0.0065,32
A,2024-01-13,5,Saturday,1,2024,13,3337.0,316.16,0.0087,29
A,2024-01-14,6,Sunday,1,2024,14,1370.0,274.25,0.0066,9
A,2024-01-15,0,Monday,1,2024,15,4046.0,326.06,0.0044,18
A,2024-01-16,1,Tuesday,1,2024,16,4893.0,339.49,0.0039,19
A,2024-01-17,2,Wednesday,1,2024,17,5538.0,327.6,0.0081,45
A,2024-01-18,3,Thursday,1,2024,18,5059.0,325.83,0.019,96
A,2024-01-19,4,Friday,1,2024,19,5267.0,330.49,0.014,74
A,2024-01-20,5,Saturday,1,2024,20,3569.0,320.37,0.0073,26
A,2024-01-21,6,Sunday,1,2024,21,1327.0,295.66,0.0098,13
A,2024-01-22,0,Monday,1,2024,22,5740.0,333.27,0.0094,54
A,2024-01-23,1,Tuesday,1,2024,23,5443.0,333.75,0.0064,35
A,2024-01-24,2,Wednesday,1,2024,24,5136.0,327.31,0.0101,52
A,2024-01-25,3,Thursday,1,2024,25,5276.0,321.68,0.0127,67
A,2024-01-26,4,Friday,1,2024,26,4982.0,322.34,0.0145,72
A,2024-01-27,5,Saturday,1,2024,27,3440.0,299.77,0.0035,12
A,2024-01-28,6,Sunday,1,2024,28,1462.0,270.0,0.0089,13
A,2024-01-29,0,Monday,1,2024,29,5399.0,321.72,0.0043,23
A,2024-01-30,1,Tuesday,1,2024,30,5202.0,310.12,0.0052,27
A,2024-01-31,2,Wednesday,1,2024,31,5687.0,315.97,0.0213,121
A,2024-02-01,3,Thursday,2,2024,1,6089.0,279.87,0.0055,33
A,2024-02-02,4,Friday,2,2024,2,5955.0,314.45,0.0131,78
A,2024-02-03,5,Saturday,2,2024,3,3884.0,327.51,0.0233,90
A,2024-02-04,6,Sunday,2,2024,4,1483.0,324.53,0.0092,14
A,2024-02-05,0,Monday,2,2024,5,6622.0,297.62,0.0096,64
A,2024-02-06,1,Tuesday,2,2024,6,5655.0,341.61,0.0078,44
A,2024-02-07,2,Wednesday,2,2024,7,5199.0,327.75,0.0107,56
A,2024-02-08,3,Thursday,2,2024,8,5131.0,317.4,0.0057,29
A,2024-02-09,4,Friday,2,2024,9,4687.0,308.97,0.002,9
A,2024-02-10,5,Saturday,2,2024,10,3300.0,329.39,0.0027,9
A,2024-02-11,6,Sunday,2,2024,11,1237.0,305.5,0.0064,8
A,2024-02-12,0,Monday,2,2024,12,4941.0,287.65,0.0073,36
A,2024-02-13,1,Tuesday,2,2024,13,4997.0,331.31,0.0063,31
A,2024-02-14,2,Wednesday,2,2024,14,4746.0,326.21,0.0072,34
A,2024-02-15,3,Thursday,2,2024,15,4684.0,331.78,0.008,37
A,2024-02-16,4,Friday,2,2024,16,4776.0,319.01,0.014,67
A,2024-02-17,5,Saturday,2,2024,17,3337.0,328.52,0.0089,30
A,2024-02-18,6,Sunday,2,2024,18,1348.0,303.38,0.0178,24
A,2024-02-19,0,Monday,2,2024,19,4745.0,292.52,0.0043,20
A,2024-02-20,1,Tuesday,2,2024,20,4913.0,317.84,0.001,5
A,2024-02-21,2,Wednesday,2,2024,21,4793.0,328.07,0.0077,37
A,2024-02-22,3,Thursday,2,2024,22,4556.0,337.22,0.0136,62
A,2024-02-23,4,Friday,2,2024,23,4813.0,327.4,0.0095,46
A,2024-02-24,5,Saturday,2,2024,24,3054.0,323.73,0.0068,21
A,2024-02-25,6,Sunday,2,2024,25,1399.0,298.79,0.0218,30
A,2024-02-26,0,Monday,2,2024,26,4897.0,282.1,0.0055,27
