portfolio,date,interval,day_of_week,day_of_week_name,month_name,calls_offered,abandoned_calls,abandon_rate,cct_seconds
A,2025-04-01,00:00,1,Tuesday,April,5.0,0,0.0,137.6
A,2025-04-01,00:30,1,Tuesday,April,5.0,0,0.0,263.4
A,2025-04-01,01:00,1,Tuesday,April,4.0,0,0.0,333.25
A,2025-04-01,01:30,1,Tuesday,April,3.0,0,0.0,170.0
A,2025-04-01,02:00,1,Tuesday,April,1.0,0,0.0,667.0
A,2025-04-01,02:30,1,Tuesday,April,4.0,0,0.0,416.5
A,2025-04-01,03:00,1,Tuesday,April,1.0,0,0.0,128.0
A,2025-04-01,03:30,1,Tuesday,April,4.0,0,0.0,158.0
A,2025-04-01,04:00,1,Tuesday,April,1.0,0,0.0,228.67
A,2025-04-01,04:30,1,Tuesday,April,1.5,0,0.0,210.085
A,2025-04-01,05:00,1,Tuesday,April,2.0,0,0.0,59.0
A,2025-04-01,05:30,1,Tuesday,April,3.0,0,0.0,178.0
A,2025-04-01,06:00,1,Tuesday,April,2.0,0,0.0,181.5
A,2025-04-01,06:30,1,Tuesday,April,4.0,2,0.5,166.0
A,2025-04-01,07:00,1,Tuesday,April,8.0,1,0.1429,386.83
A,2025-04-01,07:30,1,Tuesday,April,14.5,0,0.0,219.13
A,2025-04-01,08:00,1,Tuesday,April,44.0,0,0.0,256.89
A,2025-04-01,08:30,1,Tuesday,April,75.5,0,0.0,262.6
A,2025-04-01,09:00,1,Tuesday,April,112.0,0,0.0,315.74
A,2025-04-01,09:30,1,Tuesday,April,173.0,1,0.0058,316.33
A,2025-04-01,10:00,1,Tuesday,April,197.0,0,0.0,288.58
A,2025-04-01,10:30,1,Tuesday,April,221.0,0,0.0,330.24
A,2025-04-01,11:00,1,Tuesday,April,267.0,0,0.0,280.94
A,2025-04-01,11:30,1,Tuesday,April,273.0,0,0.0,322.6
A,2025-04-01,12:00,1,Tuesday,April,245.0,1,0.0041,335.5
A,2025-04-01,12:30,1,Tuesday,April,258.0,1,0.0039,284.15
A,2025-04-01,13:00,1,Tuesday,April,239.0,0,0.0,321.13
A,2025-04-01,13:30,1,Tuesday,April,238.0,0,0.0,328.56
A,2025-04-01,14:00,1,Tuesday,April,273.0,0,0.0,307.4
A,2025-04-01,14:30,1,Tuesday,April,274.0,0,0.0,307.11
A,2025-04-01,15:00,1,Tuesday,April,255.0,0,0.0,301.51
A,2025-04-01,15:30,1,Tuesday,April,259.0,4,0.0154,323.3
A,2025-04-01,16:00,1,Tuesday,April,259.0,2,0.0077,326.37
A,2025-04-01,16:30,1,Tuesday,April,284.0,0,0.0,330.98
A,2025-04-01,17:00,1,Tuesday,April,254.0,0,0.0,332.5
A,2025-04-01,17:30,1,Tuesday,April,191.0,0,0.0,322.13
A,2025-04-01,18:00,1,Tuesday,April,163.0,0,0.0,326.13
A,2025-04-01,18:30,1,Tuesday,April,171.0,4,0.0234,336.36
A,2025-04-01,19:00,1,Tuesday,April,108.0,0,0.0,347.57
A,2025-04-01,19:30,1,Tuesday,April,75.0,0,0.0,324.07
A,2025-04-01,20:00,1,Tuesday,April,56.0,1,0.0179,350.62
A,2025-04-01,20:30,1,Tuesday,April,66.0,5,0.0758,350.28
A,2025-04-01,21:00,1,Tuesday,April,48.0,2,0.0417,387.59
A,2025-04-01,21:30,1,Tuesday,April,26.0,0,0.0,291.92
A,2025-04-01,22:00,1,Tuesday,April,27.0,0,0.0,269.37
A,2025-04-01,22:30,1,Tuesday,April,13.0,2,0.1538,192.36
A,2025-04-01,23:00,1,Tuesday,April,14.0,1,0.0714,334.46
A,2025-04-01,23:30,1,Tuesday,April,13.0,0,0.0,260.31
A,2025-04-02,00:00,2,Wednesday,April,5.0,0,0.0,327.6
A,2025-04-02,00:30,2,Wednesday,April,7.0,0,0.0,242.29
A,2025-04-02,01:00,2,Wednesday,April,2.0,0,0.0,355.5
A,2025-04-02,01:30,2,Wednesday,April,6.0,0,0.0,258.0
A,2025-04-02,02:00,2,Wednesday,April,3.0,0,0.0,273.67
A,2025-04-02,02:30,2,Wednesday,April,1.0,0,0.0,200.0
A,2025-04-02,03:00,2,Wednesday,April,3.0,0,0.0,309.33
A,2025-04-02,03:30,2,Wednesday,April,1.0,0,0.0,227.0
A,2025-04-02,04:00,2,Wednesday,April,1.0,0,0.0,269.0
A,2025-04-02,04:30,2,Wednesday,April,1.0,0,0.0,220.0
A,2025-04-02,05:00,2,Wednesday,April,1.0,0,0.0,196.0
A,2025-04-02,05:30,2,Wednesday,April,2.0,0,0.0,469.5
A,2025-04-02,06:00,2,Wednesday,April,1.0,0,0.0,1085.0
A,2025-04-02,06:30,2,Wednesday,April,1.0,0,0.0,155.0
A,2025-04-02,07:00,2,Wednesday,April,8.0,0,0.0,145.88
A,2025-04-02,07:30,2,Wednesday,April,12.0,0,0.0,321.42
A,2025-04-02,08:00,2,Wednesday,April,42.0,0,0.0,268.95
A,2025-04-02,08:30,2,Wednesday,April,84.0,3,0.0357,249.33
A,2025-04-02,09:00,2,Wednesday,April,118.0,4,0.0339,312.5
A,2025-04-02,09:30,2,Wednesday,April,150.0,1,0.0067,322.62
A,2025-04-02,10:00,2,Wednesday,April,171.0,0,0.0,282.39
A,2025-04-02,10:30,2,Wednesday,April,192.0,0,0.0,307.71
A,2025-04-02,11:00,2,Wednesday,April,240.0,4,0.0167,329.61
A,2025-04-02,11:30,2,Wednesday,April,235.0,1,0.0043,345.16
A,2025-04-02,12:00,2,Wednesday,April,240.0,1,0.0042,344.82
A,2025-04-02,12:30,2,Wednesday,April,246.0,5,0.0203,332.64
A,2025-04-02,13:00,2,Wednesday,April,241.0,0,0.0,322.92
A,2025-04-02,13:30,2,Wednesday,April,273.0,0,0.0,304.0
A,2025-04-02,14:00,2,Wednesday,April,275.0,0,0.0,339.43
A,2025-04-02,14:30,2,Wednesday,April,253.0,0,0.0,292.37
A,2025-04-02,15:00,2,Wednesday,April,268.0,0,0.0,351.72
A,2025-04-02,15:30,2,Wednesday,April,263.0,7,0.0266,320.33
A,2025-04-02,16:00,2,Wednesday,April,244.0,1,0.0041,357.62
A,2025-04-02,16:30,2,Wednesday,April,244.0,1,0.0041,321.67
A,2025-04-02,17:00,2,Wednesday,April,211.0,0,0.0,328.45
A,2025-04-02,17:30,2,Wednesday,April,175.0,0,0.0,356.8
A,2025-04-02,18:00,2,Wednesday,April,159.0,0,0.0,304.06
A,2025-04-02,18:30,2,Wednesday,April,157.0,0,0.0,353.96
A,2025-04-02,19:00,2,Wednesday,April,81.0,0,0.0,355.14
A,2025-04-02,19:30,2,Wednesday,April,73.0,0,0.0,319.52
A,2025-04-02,20:00,2,Wednesday,April,62.0,0,0.0,326.77
A,2025-04-02,20:30,2,Wednesday,April,46.0,0,0.0,282.54
A,2025-04-02,21:00,2,Wednesday,April,39.0,0,0.0,239.31
A,2025-04-02,21:30,2,Wednesday,April,24.0,0,0.0,320.29
A,2025-04-02,22:00,2,Wednesday,April,20.0,0,0.0,297.5
A,2025-04-02,22:30,2,Wednesday,April,16.0,0,0.0,258.94
A,2025-04-02,23:00,2,Wednesday,April,15.0,0,0.0,342.67
A,2025-04-02,23:30,2,Wednesday,April,10.0,0,0.0,257.9
A,2025-04-03,00:00,3,Thursday,April,8.0,0,0.0,291.75
A,2025-04-03,00:30,3,Thursday,April,4.0,0,0.0,230.75
A,2025-04-03,01:00,3,Thursday,April,1.0,0,0.0,89.0
A,2025-04-03,01:30,3,Thursday,April,1.0,0,0.0,258.0
A,2025-04-03,02:00,3,Thursday,April,1.0,0,0.0,113.0
A,2025-04-03,02:30,3,Thursday,April,1.0,0,0.0,179.67
A,2025-04-03,03:00,3,Thursday,April,1.0,0,0.0,336.0
A,2025-04-03,03:30,3,Thursday,April,2.0,0,0.0,286.0
A,2025-04-03,04:00,3,Thursday,April,2.0,0,0.0,203.5
A,2025-04-03,04:30,3,Thursday,April,1.0,0,0.0,76.0
A,2025-04-03,05:00,3,Thursday,April,1.0,0,0.0,196.0
A,2025-04-03,05:30,3,Thursday,April,1.0,0,0.0,281.0
A,2025-04-03,06:00,3,Thursday,April,3.0,0,0.0,284.0
A,2025-04-03,06:30,3,Thursday,April,3.0,1,0.3333,323.5
A,2025-04-03,07:00,3,Thursday,April,13.0,2,0.1538,327.18
A,2025-04-03,07:30,3,Thursday,April,6.0,0,0.0,459.5
A,2025-04-03,08:00,3,Thursday,April,43.0,1,0.0233,274.83
A,2025-04-03,08:30,3,Thursday,April,96.0,0,0.0,310.55
A,2025-04-03,09:00,3,Thursday,April,109.0,0,0.0,291.0
A,2025-04-03,09:30,3,Thursday,April,149.0,0,0.0,311.04
A,2025-04-03,10:00,3,Thursday,April,192.0,0,0.0,292.23
A,2025-04-03,10:30,3,Thursday,April,223.0,0,0.0,288.19
A,2025-04-03,11:00,3,Thursday,April,257.0,4,0.0156,293.48
A,2025-04-03,11:30,3,Thursday,April,235.0,0,0.0,288.07
A,2025-04-03,12:00,3,Thursday,April,261.0,0,0.0,295.89
A,2025-04-03,12:30,3,Thursday,April,237.0,0,0.0,303.3
A,2025-04-03,13:00,3,Thursday,April,246.0,0,0.0,314.515
A,2025-04-03,13:30,3,Thursday,April,230.0,0,0.0,321.985
A,2025-04-03,14:00,3,Thursday,April,256.0,0,0.0,321.1
A,2025-04-03,14:30,3,Thursday,April,283.0,0,0.0,324.35
A,2025-04-03,15:00,3,Thursday,April,272.0,1,0.004,329.485
A,2025-04-03,15:30,3,Thursday,April,242.0,1,0.00465,328.44
A,2025-04-03,16:00,3,Thursday,April,261.0,1,0.0042,327.14
A,2025-04-03,16:30,3,Thursday,April,223.0,0,0.0,322.91499999999996
