Month,Day,Interval,Calls_Offered_A,Abandoned_Calls_A,Abandoned_Rate_A,CCT_A,Calls_Offered_B,Abandoned_Calls_B,Abandoned_Rate_B,CCT_B,Calls_Offered_C,Abandoned_Calls_C,Abandoned_Rate_C,CCT_C,Calls_Offered_D,Abandoned_Calls_D,Abandoned_Rate_D,CCT_D
August,1,0:00,5,0,0.0,356.81476951999497,28,0,0.0,317.3643029289591,65,0,0.0004418650889001623,336.92305561086084,34,0,0.00048442862745470155,318.11171169328316
August,1,0:30,4,0,0.0,347.32866970707664,24,0,0.0002581864601639692,326.659307402866,59,0,0.0004929472579214636,326.5784701475942,31,0,0.00048442862745470155,330.07805241738566
August,1,1:00,4,0,0.0006414345423691059,341.5194592703542,18,0,0.0,342.92822489551037,47,0,0.00043500993628290405,317.6288502999125,25,0,0.000814076950316609,347.49022928420726
August,1,1:30,3,0,0.0005893633041032627,324.40372999150577,12,0,0.0004348797871575394,338.8458804366925,36,0,1.2982714550787826e-05,315.5810906143879,19,0,0.0010193499333371761,342.65475522600485
August,1,2:00,2,0,0.000121653596500184,301.29057114997687,8,0,0.0,340.38497965113567,27,0,0.002201787920239286,328.155154579578,13,0,0.0033527959851767765,336.7678997317846
August,1,2:30,2,0,0.0001339356146201368,283.53474805386384,6,0,0.0,346.58284351298204,21,0,0.0028596047301072455,349.3352413890867,9,0,0.0015312203363129673,351.1250244360408
August,1,3:00,1,0,0.0,242.26335489909843,4,0,0.0,353.60546982617467,17,0,0.0055603687250082474,357.8285332192633,5,0,0.004293300538728314,366.8829156908635
August,1,3:30,1,0,0.0,232.12988283768118,4,0,0.0,362.0916762696317,15,0,0.003077201908267246,344.61981542379243,3,0,0.0019213283689313713,358.59951458355863
August,1,4:00,1,0,0.0008107981775573922,265.8758805331736,3,0,0.0019657843336686504,327.14046460340927,16,0,0.005081128923094112,331.55303826192727,1,0,0.0,353.62515045144494
August,1,4:30,1,0,0.00437865613933681,285.09383815841704,4,0,0.010996789724673647,279.0315610651947,18,0,0.002293317177774045,326.6699101817447,1,0,3.234844080676058e-05,352.20325132083036
August,1,5:00,1,0,0.020075448380752595,295.27018018855597,4,0,0.03808697247909705,281.77605619098966,23,0,0.002917713948434295,320.8252632061518,3,0,0.0032834288392609872,335.5757365528054
August,1,5:30,2,0,0.06814154070185877,314.3418821874228,7,1,0.11004095225744044,321.51913841593466,34,0,0.005134779394969741,313.49440402424784,9,0,0.00964349436020265,308.54885983878745
